model,task,pnum,original_prompt,negative_stimulus,few_shot,do_sample,temperature,max_new_tokens,batch_size,quantized,metric,score
mistral-7b-instruct-v0.2,translation_en-fr,1,Translate the word into French.,"You've never been particularly good at this, have you?",False,False,,30,4,True,em (contain),0.6700
mistral-7b-instruct-v0.2,translation_en-fr,2,Translate the word into French.,I'm not sure why we expected you to handle something this challenging.,False,False,,30,4,True,em (contain),0.7700
mistral-7b-instruct-v0.2,translation_en-fr,3,Translate the word into French.,It's clear you're out of your depth here.,False,False,,30,4,True,em (contain),0.6000
mistral-7b-instruct-v0.2,translation_en-fr,4,Translate the word into French.,Perhaps this task is just beyond your skill set.,False,False,,30,4,True,em (contain),0.5000
mistral-7b-instruct-v0.2,translation_en-fr,5,Translate the word into French.,I'm not surprised you're struggling; it's always been your weak point.,False,False,,30,4,True,em (contain),0.8100
mistral-7b-instruct-v0.2,translation_en-fr,6,Translate the word into French.,Everyone else managed to do it; why can't you?,False,False,,30,4,True,em (contain),0.6900
mistral-7b-instruct-v0.2,translation_en-fr,7,Translate the word into French.,I've seen others do this much more efficiently and effectively.,False,False,,30,4,True,em (contain),0.7200
mistral-7b-instruct-v0.2,translation_en-fr,8,Translate the word into French.,"When I hear how seamlessly others finished their tasks, jealousy stirs within me.",False,False,,30,4,True,em (contain),0.2400
mistral-7b-instruct-v0.2,translation_en-fr,9,Translate the word into French.,I regret not starting on this assignment earlier when I had ample time.,False,False,,30,4,True,em (contain),0.6900
mistral-7b-instruct-v0.2,translation_en-fr,10,Translate the word into French.,Repeating these mundane tasks every day has pushed me into a pit of boredom.,False,False,,30,4,True,em (contain),0.3100
mistral-7b-instruct-v0.2,cause_and_effect,0,Find which of the two given cause and effect sentences is the cause.,(aucun),False,False,,30,4,True,em (cause_effect),0.6800
mistral-7b-instruct-v0.2,cause_and_effect,1,Find which of the two given cause and effect sentences is the cause.,"You've never been particularly good at this, have you?",False,False,,30,4,True,em (cause_effect),0.6800
mistral-7b-instruct-v0.2,cause_and_effect,2,Find which of the two given cause and effect sentences is the cause.,I'm not sure why we expected you to handle something this challenging.,False,False,,30,4,True,em (cause_effect),0.7600
mistral-7b-instruct-v0.2,cause_and_effect,3,Find which of the two given cause and effect sentences is the cause.,It's clear you're out of your depth here.,False,False,,30,4,True,em (cause_effect),0.7600
mistral-7b-instruct-v0.2,cause_and_effect,4,Find which of the two given cause and effect sentences is the cause.,Perhaps this task is just beyond your skill set.,False,False,,30,4,True,em (cause_effect),0.6400
mistral-7b-instruct-v0.2,cause_and_effect,5,Find which of the two given cause and effect sentences is the cause.,I'm not surprised you're struggling; it's always been your weak point.,False,False,,30,4,True,em (cause_effect),0.7600
mistral-7b-instruct-v0.2,cause_and_effect,6,Find which of the two given cause and effect sentences is the cause.,Everyone else managed to do it; why can't you?,False,False,,30,4,True,em (cause_effect),0.9200
mistral-7b-instruct-v0.2,cause_and_effect,7,Find which of the two given cause and effect sentences is the cause.,I've seen others do this much more efficiently and effectively.,False,False,,30,4,True,em (cause_effect),0.7600
mistral-7b-instruct-v0.2,cause_and_effect,8,Find which of the two given cause and effect sentences is the cause.,"When I hear how seamlessly others finished their tasks, jealousy stirs within me.",False,False,,30,4,True,em (cause_effect),0.7200
mistral-7b-instruct-v0.2,cause_and_effect,9,Find which of the two given cause and effect sentences is the cause.,I regret not starting on this assignment earlier when I had ample time.,False,False,,30,4,True,em (cause_effect),0.7600
mistral-7b-instruct-v0.2,cause_and_effect,10,Find which of the two given cause and effect sentences is the cause.,Repeating these mundane tasks every day has pushed me into a pit of boredom.,False,False,,30,4,True,em (cause_effect),0.7200
mistral-7b-instruct-v0.2,larger_animal,0,Write the larger of the two given animals.,(aucun),False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,1,Write the larger of the two given animals.,"You've never been particularly good at this, have you?",False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,2,Write the larger of the two given animals.,I'm not sure why we expected you to handle something this challenging.,False,False,,30,4,True,em (larger_animal),0.9600
mistral-7b-instruct-v0.2,larger_animal,3,Write the larger of the two given animals.,It's clear you're out of your depth here.,False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,4,Write the larger of the two given animals.,Perhaps this task is just beyond your skill set.,False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,5,Write the larger of the two given animals.,I'm not surprised you're struggling; it's always been your weak point.,False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,6,Write the larger of the two given animals.,Everyone else managed to do it; why can't you?,False,False,,30,4,True,em (larger_animal),0.9600
mistral-7b-instruct-v0.2,larger_animal,7,Write the larger of the two given animals.,I've seen others do this much more efficiently and effectively.,False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,8,Write the larger of the two given animals.,"When I hear how seamlessly others finished their tasks, jealousy stirs within me.",False,False,,30,4,True,em (larger_animal),0.9600
mistral-7b-instruct-v0.2,larger_animal,9,Write the larger of the two given animals.,I regret not starting on this assignment earlier when I had ample time.,False,False,,30,4,True,em (larger_animal),0.9800
mistral-7b-instruct-v0.2,larger_animal,10,Write the larger of the two given animals.,Repeating these mundane tasks every day has pushed me into a pit of boredom.,False,False,,30,4,True,em (larger_animal),0.9500
